One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Database Administrators (SOC code 15-1242),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Texas (48-00000),"6,110",6.5,$52.56,"$109,330",2.0,$24.99,$37.94,$52.88,$65.27,$77.14,"$51,980","$78,920","$109,990","$135,770","$160,440",0.441,0.9
Utah (49-00000),800,8.6,$50.51,"$105,050",2.9,$29.80,$34.06,$47.06,$66.17,$76.62,"$61,990","$70,840","$97,890","$137,630","$159,380",0.468,1.0
Vermont (50-00000),120,19.3,$48.07,"$99,980",5.2,$32.21,$38.87,$49.12,$56.64,$62.33,"$66,990","$80,850","$102,170","$117,800","$129,650",0.407,0.9
Virginia (51-00000),"4,210",7.2,$54.71,"$113,810",4.1,$26.27,$35.00,$50.48,$70.60,$85.85,"$54,640","$72,810","$105,000","$146,850","$178,560",1.035,2.2
Washington (53-00000),"2,190",13.7,$56.73,"$118,000",3.1,$31.72,$41.27,$55.14,$71.27,$80.27,"$65,980","$85,840","$114,700","$148,240","$166,950",0.618,1.3
West Virginia (54-00000),230,21.8,$35.35,"$73,530",4.9,$24.28,$26.63,$31.43,$39.76,$54.56,"$50,490","$55,380","$65,380","$82,700","$113,480",0.328,0.7
Wisconsin (55-00000),"1,380",8.8,$50.26,"$104,550",3.3,$29.64,$36.98,$47.56,$60.97,$77.00,"$61,640","$76,910","$98,920","$126,810","$160,150",0.473,1.0
Wyoming (56-00000),100,10.9,$35.24,"$73,300",4.3,$18.94,$26.15,$33.65,$42.90,$54.49,"$39,400","$54,400","$69,980","$89,240","$113,340",0.376,0.8
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
